LocationCode,DateTime,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW),DateLoc
1,2024-01-06 06:21:10,0.84,1014.4,12.1,100.0,25.83,0.0,2024010601
1,2024-01-06 06:22:10,0.72,1014.42,12.1,100.0,33.33,0.01,2024010601
1,2024-01-06 06:23:10,0.0,1014.45,12.1,100.0,41.67,0.01,2024010601
1,2024-01-06 06:24:10,0.0,1014.44,12.1,100.0,53.33,0.01,2024010601
1,2024-01-06 06:25:10,0.72,1014.42,12.1,100.0,65.0,0.01,2024010601
1,2024-01-06 06:26:10,0.42,1014.43,12.2,100.0,79.17,0.01,2024010601
1,2024-01-06 06:27:10,1.14,1014.44,12.2,100.0,95.83,0.03,2024010601
1,2024-01-06 06:28:10,1.56,1014.42,12.2,100.0,115.0,0.02,2024010601
1,2024-01-06 06:29:10,1.62,1014.44,12.2,100.0,136.67,0.03,2024010601
1,2024-01-06 06:30:10,1.38,1014.44,12.2,100.0,162.5,0.04,2024010601
1,2024-01-06 06:31:10,1.81,1014.43,12.2,100.0,190.0,0.04,2024010601
1,2024-01-06 06:32:10,0.9,1014.45,12.3,100.0,222.5,0.05,2024010601
1,2024-01-06 06:33:10,1.02,1014.45,12.3,100.0,256.67,0.07,2024010601
1,2024-01-06 06:34:10,0.18,1014.45,12.3,100.0,295.83,0.09,2024010601
1,2024-01-06 06:35:10,0.0,1014.46,12.3,100.0,336.67,0.08,2024010601
1,2024-01-06 06:36:11,0.0,1014.46,12.3,100.0,380.83,0.09,2024010601
1,2024-01-06 06:37:11,0.42,1014.47,12.3,100.0,427.5,0.11,2024010601
1,2024-01-06 06:38:11,0.6,1014.5,12.3,100.0,476.67,0.12,2024010601
1,2024-01-06 06:39:11,0.66,1014.53,12.3,100.0,529.17,0.17,2024010601
1,2024-01-06 06:40:11,0.12,1014.54,12.3,100.0,586.67,0.18,2024010601
1,2024-01-06 06:41:11,0.0,1014.57,12.2,100.0,645.0,0.19,2024010601
1,2024-01-06 06:42:11,0.0,1014.61,12.3,100.0,709.17,0.26,2024010601
1,2024-01-06 06:43:11,0.6,1014.62,12.3,100.0,763.33,0.28,2024010601
1,2024-01-06 06:44:11,0.18,1014.65,12.3,100.0,833.33,0.31,2024010601
1,2024-01-06 06:45:11,0.3,1014.65,12.3,100.0,899.17,0.33,2024010601
1,2024-01-06 06:46:11,0.84,1014.65,12.2,100.0,964.17,0.4,2024010601
1,2024-01-06 06:47:11,1.14,1014.69,12.3,100.0,1017.5,0.41,2024010601
1,2024-01-06 06:48:11,0.6,1014.73,12.3,100.0,1075.83,0.41,2024010601
1,2024-01-06 06:49:11,1.08,1014.76,12.2,100.0,1156.67,0.43,2024010601
1,2024-01-06 06:50:11,1.81,1014.8,12.3,100.0,1250.0,0.54,2024010601
1,2024-01-06 06:51:11,2.23,1014.81,12.3,100.0,1378.33,0.68,2024010601
1,2024-01-06 06:52:11,1.44,1014.81,12.3,100.0,1529.17,0.93,2024010601
1,2024-01-06 06:53:11,1.38,1014.84,12.4,100.0,1655.83,1.18,2024010601
1,2024-01-06 06:54:11,0.9,1014.84,12.4,100.0,1747.5,1.33,2024010601
1,2024-01-06 06:55:10,0.3,1014.88,12.4,100.0,1800.83,1.39,2024010601
1,2024-01-06 06:56:10,0.84,1014.89,12.5,100.0,1795.0,1.22,2024010601
1,2024-01-06 06:57:10,0.42,1014.92,12.5,100.0,1775.83,0.99,2024010601
1,2024-01-06 06:58:10,0.0,1014.93,12.5,100.0,1793.33,0.92,2024010601
1,2024-01-06 06:59:10,0.54,1014.9,12.6,100.0,1920.0,1.01,2024010601
1,2024-01-06 07:00:10,0.36,1014.89,12.5,100.0,2125.83,1.34,2024010601
1,2024-01-06 07:01:10,0.42,1014.9,12.5,100.0,2377.5,1.74,2024010601
1,2024-01-06 07:02:10,0.12,1014.94,12.6,100.0,2699.17,2.58,2024010601
1,2024-01-06 07:03:10,0.9,1014.99,12.6,100.0,2976.67,3.33,2024010601
1,2024-01-06 07:04:10,0.18,1015.02,12.6,100.0,3882.5,6.8,2024010601
1,2024-01-06 07:05:10,0.6,1015.02,12.6,100.0,5974.17,19.96,2024010601
1,2024-01-06 07:06:10,0.12,1015.02,12.7,100.0,7518.33,34.17,2024010601
1,2024-01-06 07:07:10,0.24,1015.02,12.8,100.0,8016.67,37.23,2024010601
1,2024-01-06 07:08:10,0.18,1014.98,13.0,100.0,6867.5,24.07,2024010601
1,2024-01-06 07:09:10,0.6,1014.93,13.2,100.0,9213.33,47.1,2024010601
1,2024-01-06 07:10:10,0.72,1014.91,13.4,100.0,10100.0,58.22,2024010601
1,2024-01-06 07:11:10,0.18,1014.94,13.6,100.0,10584.17,64.8,2024010601
1,2024-01-06 07:12:10,0.84,1014.96,13.8,100.0,11075.83,70.98,2024010601
1,2024-01-06 07:13:10,0.48,1014.97,14.0,100.0,11505.0,77.24,2024010601
1,2024-01-06 07:14:10,0.36,1015.01,14.3,100.0,11775.83,83.3,2024010601
1,2024-01-06 07:15:10,0.84,1015.0,14.5,100.0,11733.33,87.63,2024010601
1,2024-01-06 07:16:10,0.96,1015.01,14.8,100.0,11817.5,92.03,2024010601
1,2024-01-06 07:17:10,0.84,1014.99,15.0,100.0,12870.0,98.0,2024010601
1,2024-01-06 07:18:10,1.02,1015.0,15.2,100.0,13588.33,104.8,2024010601
1,2024-01-06 07:19:10,0.66,1015.0,15.4,100.0,12783.33,111.72,2024010601
1,2024-01-06 07:20:10,0.54,1015.01,15.6,100.0,12468.33,118.78,2024010601
1,2024-01-06 07:21:10,0.96,1015.02,15.8,100.0,12735.0,125.96,2024010601
1,2024-01-06 07:22:10,0.96,1015.05,16.0,100.0,12658.33,133.32,2024010601
1,2024-01-06 07:23:10,0.0,1015.09,16.2,100.0,12210.83,140.36,2024010601
1,2024-01-06 07:24:10,1.02,1015.09,16.5,100.0,12370.83,148.17,2024010601
1,2024-01-06 07:25:10,0.54,1015.1,16.7,100.0,12606.67,155.44,2024010601
1,2024-01-06 07:26:10,0.24,1015.09,16.9,100.0,13008.33,159.12,2024010601
1,2024-01-06 07:27:10,0.0,1015.1,17.1,100.0,13965.0,167.52,2024010601
