LocationCode,DateTime,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW),DateLoc
8,2024-05-26 05:02:05,0.0,1005.59,25.8,100.0,23.33,0.0,2024052608
8,2024-05-26 05:03:05,0.0,1005.64,25.8,100.0,26.67,0.0,2024052608
8,2024-05-26 05:04:05,0.0,1005.61,25.81,100.0,30.0,0.0,2024052608
8,2024-05-26 05:05:06,0.0,1005.61,25.82,100.0,32.5,0.0,2024052608
8,2024-05-26 05:06:05,0.0,1005.64,25.81,100.0,35.0,0.0,2024052608
8,2024-05-26 05:07:05,0.0,1005.62,25.81,100.0,36.67,0.0,2024052608
8,2024-05-26 05:08:05,0.0,1005.63,25.82,100.0,39.17,0.0,2024052608
8,2024-05-26 05:09:05,0.0,1005.64,25.84,100.0,41.67,0.0,2024052608
8,2024-05-26 05:10:05,0.0,1005.69,25.84,100.0,44.17,0.0,2024052608
8,2024-05-26 05:11:05,0.0,1005.73,25.84,100.0,48.33,0.0,2024052608
8,2024-05-26 05:12:05,0.0,1005.72,25.82,100.0,52.5,0.0,2024052608
8,2024-05-26 05:13:05,0.0,1005.76,25.82,100.0,59.17,0.0,2024052608
8,2024-05-26 05:14:05,0.0,1005.77,25.8,100.0,67.5,0.0,2024052608
8,2024-05-26 05:15:05,0.0,1005.81,25.8,100.0,73.33,0.0,2024052608
8,2024-05-26 05:16:05,0.0,1005.77,25.79,100.0,77.5,0.0,2024052608
8,2024-05-26 05:17:05,0.0,1005.8,25.79,100.0,80.83,0.0,2024052608
8,2024-05-26 05:18:05,0.0,1005.77,25.8,100.0,85.0,0.0,2024052608
8,2024-05-26 05:19:05,0.0,1005.84,25.79,100.0,89.17,0.0,2024052608
8,2024-05-26 05:20:05,0.0,1005.86,25.79,100.0,96.67,0.0,2024052608
8,2024-05-26 05:21:05,0.0,1005.91,25.78,100.0,107.5,0.0,2024052608
8,2024-05-26 05:22:05,0.0,1005.94,25.77,100.0,115.83,0.0,2024052608
8,2024-05-26 05:23:05,0.0,1005.94,25.78,100.0,125.0,0.0,2024052608
8,2024-05-26 05:24:05,0.0,1005.92,25.74,100.0,135.0,0.01,2024052608
8,2024-05-26 05:25:05,0.0,1005.97,25.75,100.0,147.5,0.01,2024052608
8,2024-05-26 05:26:05,0.0,1005.99,25.76,100.0,163.33,0.01,2024052608
8,2024-05-26 05:27:05,0.0,1005.99,25.77,100.0,177.5,0.01,2024052608
8,2024-05-26 05:28:05,0.0,1005.98,25.75,100.0,185.0,0.01,2024052608
